name,ability,untrained,ac_penalty
Acrobatics,Dex,Yes,Yes
Appraise,Int,Yes,No
Bluff,Cha,Yes,No
Climb,Str,Yes,Yes
Craft,Int,Yes,No
Diplomacy,Cha,Yes,No
Disable Device,Dex,No,Yes
Disguise,Cha,Yes,No
Escape Artist,Dex,Yes,Yes
Fly,Dex,Yes,Yes
Handle Animal,Cha,No,No
Heal,Wis,Yes,No
Intimidate,Cha,Yes,No
Knowledge (arcana),Int,No,No
Knowledge (dungeoneering),Int,No,No
Knowledge (engineering),Int,No,No
Knowledge (geography),Int,No,No
Knowledge (history),Int,No,No
Knowledge (local),Int,No,No
Knowledge (nature),Int,No,No
Knowledge (nobility),Int,No,No
Knowledge (planes),Int,No,No
Knowledge (religion),Int,No,No
Linguistics,Int,No,No
Perception,Wis,Yes,No
Perform,Cha,Yes,No
Profession,Wis,No,No
Ride,Dex,Yes,Yes
Sense Motive,Wis,Yes,No
Sleight of Hand,Dex,No,Yes
Spellcraft,Int,No,No
Stealth,Dex,Yes,Yes
Survival,Wis,Yes,No
Swim,Str,Yes,Yes
Use Magic Device,Cha,No,No
